Ticker,Annual Return (%),Annual Volatility (%),Max Drawdown (%)
AAPL,35.633766098897915,31.690990213386684,-31.42726469933771
AMZN,20.124833839675837,35.45911664804161,-56.14526325328263
GOOGL,25.726132895800834,31.92108567310072,-44.32004966331178
META,31.24625073713397,44.75838987943567,-76.73609044046245
MSFT,27.977321185120218,30.279064230373333,-37.14848244372468
NVDA,81.84059441806708,53.3543976979581,-66.3350945837257
TSLA,74.8770087633829,65.710705252469,-73.63221744219119
^GSPC,15.58704108502606,21.21857788114559,-33.92496000265327
